track_id,first_letter,track,artist_id,artist,track_number,track_uri
3Dpyn5Cu7BdURzo2ov4dku,I,I Want It All - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,4,spotify:track:3Dpyn5Cu7BdURzo2ov4dku
0aTMBEfPCCkKkneU6gLmDD,E,El Triste,4mN0qcMxWX8oToqfDPM5yV,José José,6,spotify:track:0aTMBEfPCCkKkneU6gLmDD
6RtPijgfPKROxEzTHNRiDp,R,Rude,0DxeaLnv6SyYk2DOqkLO8c,MAGIC!,1,spotify:track:6RtPijgfPKROxEzTHNRiDp
4wBr0DgFLzBqU7Jo5yshZO,E,Escape (The Pina Colada Song),0TqIPD4IS1w4e30R38B3vj,Rupert Holmes,2,spotify:track:4wBr0DgFLzBqU7Jo5yshZO
1hi0P1Y2he1p09xnUccuAN,S,Sign,3w2HqkKa6upwuXEULtGvnY,FLOW,3,spotify:track:1hi0P1Y2he1p09xnUccuAN
1NeLwFETswx8Fzxl2AFl91,S,Something About Us,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,9,spotify:track:1NeLwFETswx8Fzxl2AFl91
3b1IQflSLrgzYQPGFzI9cl,E,Es Por Ti,0UWZUmn7sybxMCqrw9tGa7,Juanes,2,spotify:track:3b1IQflSLrgzYQPGFzI9cl
2JigPEBI9SYElZUdwUJ3wN,R,Romeo,2eogQKWWoohI3BSnoG7E2U,Donna Summer,7,spotify:track:2JigPEBI9SYElZUdwUJ3wN
5BY0p2EH4EznNZ0MFD9mjt,M,Me Enamora,0UWZUmn7sybxMCqrw9tGa7,Juanes,3,spotify:track:5BY0p2EH4EznNZ0MFD9mjt
07q0QVgO56EorrSGHC48y3,I,I Was Made For Lovin' You,07XSN3sPlIlB2L2XNcTwJw,KISS,1,spotify:track:07q0QVgO56EorrSGHC48y3
7LpS82vPDLgZAHWRtWBBRj,N,Ni tú ni nadie,2mDlFcPtgXtLF1gEshEInh,Alaska Y Dinarama,3,spotify:track:7LpS82vPDLgZAHWRtWBBRj
0q6LuUqGLUiCPP1cbdwFs3,O,On Melancholy Hill,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,10,spotify:track:0q6LuUqGLUiCPP1cbdwFs3
2m1UUNdKBX7fdXDZgcbSZK,V,Voyager - Gravestone Without Date,5k3NfhEeZHpouIGDpjKOPo,Shiro Sagisu,19,spotify:track:2m1UUNdKBX7fdXDZgcbSZK
4pbG9SUmWIvsROVLF0zF9s,I,I Want To Hold Your Hand - Remastered 2015,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4,spotify:track:4pbG9SUmWIvsROVLF0zF9s
3OltYYcLZUhvho5QoRbUNr,A,"Accidentally In Love - From ""Shrek 2"" Soundtrack",0vEsuISMWAKNctLlUAhSZC,Counting Crows,17,spotify:track:3OltYYcLZUhvho5QoRbUNr
5fdNHVZHbWB1AaXk4RBGVD,J,Just the Two of Us,05YVYeV4HxYp5rrWalvuE1,"Grover Washington, Jr.",5,spotify:track:5fdNHVZHbWB1AaXk4RBGVD
7M3HuQRRAm1QD4kftmq0bb,A,Amour plastique,3rp4f58JlRHkk8hpdLCer1,Videoclub,1,spotify:track:7M3HuQRRAm1QD4kftmq0bb
2nejvFyJeTDtMRP2nUMt0J,A,Abrázame Muy Fuerte,2MRBDr0crHWE5JwPceFncq,Juan Gabriel,6,spotify:track:2nejvFyJeTDtMRP2nUMt0J
3x54PTv9fuHn0e2q2VuBVN,V,Vale la Pena,3nlpTZci9O5W8RsNoNH559,Juan Luis Guerra 4.40,2,spotify:track:3x54PTv9fuHn0e2q2VuBVN
6ilTR3RpLCAHDt3Z6YuQGx,シ,シンデレラ,3hprFQEXS7glX1Jxxwv9Dn,Cidergirl,1,spotify:track:6ilTR3RpLCAHDt3Z6YuQGx
1HNvADmPBGAExeyIHkcJtd,S,Sparkle - Original Version,1EowJ1WwkMzkCkRomFhui7,RADWIMPS,12,spotify:track:1HNvADmPBGAExeyIHkcJtd
4jDmJ51x1o9NZB5Nxxc7gY,C,Careless Whisper,19ra5tSw0tWufvUp8GotLo,George Michael,3,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY
04Xdk7F9HgyHBcAwO7KE3F,S,Sera Porque Te Amo,5BwOOeKayeMZXa5SSaiRxv,Ricchi E Poveri,1,spotify:track:04Xdk7F9HgyHBcAwO7KE3F
0pEeurFyp2xMwUX57NgmUQ,L,Lead Your Partner,078uTew0ffZM8zKSYdZsDQ,Tao Tsuchiya,3,spotify:track:0pEeurFyp2xMwUX57NgmUQ
3sS3ricJcq0cIEQze7kt9B,L,Locos de Amor,207wrLMuGP7znQqdIaMCaJ,Yordano,5,spotify:track:3sS3ricJcq0cIEQze7kt9B
2L2zLsybbySytu4RI5z3aK,E,Ella Es Mi Fiesta,4vhNDa5ycK0ST968ek7kRr,Carlos Vives,4,spotify:track:2L2zLsybbySytu4RI5z3aK
23hrvdvkIi1X1voQG2bJH9,C,Come and Get Your Love,0w7HLMvZOHatWVbAKee1zF,Redbone,5,spotify:track:23hrvdvkIi1X1voQG2bJH9
2TzkIzgzIHhewMxyh1u4hh,V,Vámonos a Marte,6OBGbSaBUvQtk9wpQfDbOE,Kevin Kaarl,2,spotify:track:2TzkIzgzIHhewMxyh1u4hh
6yCjU5j6YHbux2VQCBTTE1,T,Tu jardín con enanitos,1EXjXQpDx2pROygh8zvHs4,Melendi,1,spotify:track:6yCjU5j6YHbux2VQCBTTE1
2BHj31ufdEqVK5CkYDp9mA,M,Mayonaka no Door / Stay With Me,4hUmsYcvD8C5zuVSP93jb1,Miki Matsubara,4,spotify:track:2BHj31ufdEqVK5CkYDp9mA
0fC6Szw2CX8XZYsydOLmVC,¡,¡Ay Amor!,41ESHLayJ5sDKjAOv6cMhe,Ana Gabriel,8,spotify:track:0fC6Szw2CX8XZYsydOLmVC
6b37xrsNCWYIUphFBazqD6,M,Me Gustas Tu,6wH6iStAh4KIaWfuhf0NYM,Manu Chao,6,spotify:track:6b37xrsNCWYIUphFBazqD6
2in1gSZtv2lRbcZUmN9aAl,T,Te Mando Flores,53KTldaJ8tHSkYU3nigfwP,Fonseca,5,spotify:track:2in1gSZtv2lRbcZUmN9aAl
63cRF8dNJB0899JyKIub8A,B,Bandido,0Up8AZmXDecXiMirZhRLmw,Alberto Plaza,1,spotify:track:63cRF8dNJB0899JyKIub8A
0iPih0VIvzwUW8QSURL8hV,E,Estrellitas y Duendes,3nlpTZci9O5W8RsNoNH559,Juan Luis Guerra 4.40,4,spotify:track:0iPih0VIvzwUW8QSURL8hV
3lGMtkONrZdJ8kTCg6KIFf,H,Hasta la Raíz,1hcdI2N1023RvSwLzTtdsp,Natalia Lafourcade,1,spotify:track:3lGMtkONrZdJ8kTCg6KIFf
2nejvFyJeTDtMRP2nUMt0J,A,Abrázame Muy Fuerte,2MRBDr0crHWE5JwPceFncq,Juan Gabriel,6,spotify:track:2nejvFyJeTDtMRP2nUMt0J
3sS3ricJcq0cIEQze7kt9B,L,Locos de Amor,207wrLMuGP7znQqdIaMCaJ,Yordano,5,spotify:track:3sS3ricJcq0cIEQze7kt9B
4IvYW5NRB5U8FE1nHTQkGn,D,Dejando Libre el Amor,46KmqHQ1EfYqQtO7r77AMp,Chancho En Piedra,5,spotify:track:4IvYW5NRB5U8FE1nHTQkGn
12NW2sUhBFz5VUxDZTp3Op,C,Corazón,3HrbmsYpKjWH1lzhad7alj,Los Auténticos Decadentes,9,spotify:track:12NW2sUhBFz5VUxDZTp3Op
5zGJT3TTShcNHeJeDrjPvs,F,Fuego en el Fuego,61J0BktHv7PuP3tjTPYXSX,Eros Ramazzotti,2,spotify:track:5zGJT3TTShcNHeJeDrjPvs
6kdCN6gTWLcLxmLXoUcwuI,E,Eres,09xj0S68Y1OU1vHMCZAIvz,Café Tacvba,6,spotify:track:6kdCN6gTWLcLxmLXoUcwuI
25U7raB3ZSszayTYClh4hF,S,Somewhere Over The Rainbow_What A Wonderful World,4ogvuDRerGhZfSf7TtzHlr,Israel Kamakawiwo'ole,14,spotify:track:25U7raB3ZSszayTYClh4hF
